rank,pathway_id,description,file,url
1,hsa05417,Lipid and atherosclerosis,001_hsa05417_Lipid_and_atherosclerosis.png,https://rest.kegg.jp/get/hsa05417/image
2,hsa04933,AGE-RAGE signaling pathway in diabetic complications,002_hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications.png,https://rest.kegg.jp/get/hsa04933/image
3,hsa05161,Hepatitis B,003_hsa05161_Hepatitis_B.png,https://rest.kegg.jp/get/hsa05161/image
4,hsa05167,Kaposi sarcoma-associated herpesvirus infection,004_hsa05167_Kaposi_sarcoma-associated_herpesvirus_infection.png,https://rest.kegg.jp/get/hsa05167/image
5,hsa04657,IL-17 signaling pathway,005_hsa04657_IL-17_signaling_pathway.png,https://rest.kegg.jp/get/hsa04657/image
6,hsa04668,TNF signaling pathway,006_hsa04668_TNF_signaling_pathway.png,https://rest.kegg.jp/get/hsa04668/image
7,hsa05205,Proteoglycans in cancer,007_hsa05205_Proteoglycans_in_cancer.png,https://rest.kegg.jp/get/hsa05205/image
8,hsa05418,Fluid shear stress and atherosclerosis,008_hsa05418_Fluid_shear_stress_and_atherosclerosis.png,https://rest.kegg.jp/get/hsa05418/image
9,hsa05215,Prostate cancer,009_hsa05215_Prostate_cancer.png,https://rest.kegg.jp/get/hsa05215/image
10,hsa04151,PI3K-Akt signaling pathway,010_hsa04151_PI3K-Akt_signaling_pathway.png,https://rest.kegg.jp/get/hsa04151/image
11,hsa05160,Hepatitis C,011_hsa05160_Hepatitis_C.png,https://rest.kegg.jp/get/hsa05160/image
12,hsa01521,EGFR tyrosine kinase inhibitor resistance,012_hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance.png,https://rest.kegg.jp/get/hsa01521/image
13,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,013_hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer.png,https://rest.kegg.jp/get/hsa05235/image
14,hsa05212,Pancreatic cancer,014_hsa05212_Pancreatic_cancer.png,https://rest.kegg.jp/get/hsa05212/image
15,hsa05208,Chemical carcinogenesis - reactive oxygen species,015_hsa05208_Chemical_carcinogenesis_-_reactive_oxygen_species.png,https://rest.kegg.jp/get/hsa05208/image
16,hsa05142,Chagas disease,016_hsa05142_Chagas_disease.png,https://rest.kegg.jp/get/hsa05142/image
17,hsa05163,Human cytomegalovirus infection,017_hsa05163_Human_cytomegalovirus_infection.png,https://rest.kegg.jp/get/hsa05163/image
18,hsa01522,Endocrine resistance,018_hsa01522_Endocrine_resistance.png,https://rest.kegg.jp/get/hsa01522/image
19,hsa04620,Toll-like receptor signaling pathway,019_hsa04620_Toll-like_receptor_signaling_pathway.png,https://rest.kegg.jp/get/hsa04620/image
20,hsa04066,HIF-1 signaling pathway,020_hsa04066_HIF-1_signaling_pathway.png,https://rest.kegg.jp/get/hsa04066/image
21,hsa05219,Bladder cancer,021_hsa05219_Bladder_cancer.png,https://rest.kegg.jp/get/hsa05219/image
22,hsa05210,Colorectal cancer,022_hsa05210_Colorectal_cancer.png,https://rest.kegg.jp/get/hsa05210/image
23,hsa04936,Alcoholic liver disease,023_hsa04936_Alcoholic_liver_disease.png,https://rest.kegg.jp/get/hsa04936/image
24,hsa05225,Hepatocellular carcinoma,024_hsa05225_Hepatocellular_carcinoma.png,https://rest.kegg.jp/get/hsa05225/image
25,hsa05140,Leishmaniasis,025_hsa05140_Leishmaniasis.png,https://rest.kegg.jp/get/hsa05140/image
26,hsa05169,Epstein-Barr virus infection,026_hsa05169_Epstein-Barr_virus_infection.png,https://rest.kegg.jp/get/hsa05169/image
27,hsa05213,Endometrial cancer,027_hsa05213_Endometrial_cancer.png,https://rest.kegg.jp/get/hsa05213/image
28,hsa05162,Measles,028_hsa05162_Measles.png,https://rest.kegg.jp/get/hsa05162/image
29,hsa05135,Yersinia infection,029_hsa05135_Yersinia_infection.png,https://rest.kegg.jp/get/hsa05135/image
30,hsa05226,Gastric cancer,030_hsa05226_Gastric_cancer.png,https://rest.kegg.jp/get/hsa05226/image
31,hsa05218,Melanoma,031_hsa05218_Melanoma.png,https://rest.kegg.jp/get/hsa05218/image
32,hsa05207,Chemical carcinogenesis - receptor activation,032_hsa05207_Chemical_carcinogenesis_-_receptor_activation.png,https://rest.kegg.jp/get/hsa05207/image
